time;logger;level;message;exception
2012-03-29 08:40:52.9946;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 5 because: PUT Raven/Hilo/products;
2012-03-29 08:40:52.9946;Raven.Database.DocumentDatabase;Debug;Put document Raven/Hilo/products with etag 00000000-0000-0500-0000-000000000003;
2012-03-29 08:40:52.9946;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 5, for: ReducingExecuter, will wait for additional work;
2012-03-29 08:40:52.9946;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Found a total of 1 documents that requires indexing since etag: 00000000-0000-0500-0000-000000000002;
2012-03-29 08:40:52.9946;Raven.Database.Impl.DocumentRetriever;Debug;Triggered Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Hilo/products;
2012-03-29 08:40:52.9946;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;After read triggers executed, 0 documents remained;
2012-03-29 08:40:52.9946;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for CategoryIndex, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000003, 29-03-2012 06:40:52;
2012-03-29 08:40:52.9946;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for ComplexCategoryIndex, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000003, 29-03-2012 06:40:52;
2012-03-29 08:40:52.9946;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for ProductPriceIndex, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000003, 29-03-2012 06:40:52;
2012-03-29 08:40:52.9946;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for ProductTotalPricePerCategoryIndex, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000003, 29-03-2012 06:40:52;
2012-03-29 08:40:52.9946;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for Raven/DocumentsByEntityName, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000003, 29-03-2012 06:40:52;
2012-03-29 08:40:52.9946;Raven.Database.Server.HttpServer;Debug;Request #  12: PUT     -     2 ms - <default>  - 201 - /docs/Raven/Hilo/products;
2012-03-29 08:40:52.9946;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 6 because: WORK BY IndexingExecuter;
2012-03-29 08:40:52.9946;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 6, for: ReducingExecuter, will wait for additional work;
2012-03-29 08:40:52.9946;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 6, for: IndexingExecuter, will wait for additional work;
2012-03-29 08:40:53.8107;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'products-1', update: False, ;
